,Quarter,Tm,Detail,BUF,CIN
0,1.0,Bengals,Charles Alexander 4 yard rush (Jim Breech kick),0,7
1,1.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),0,14
2,2.0,Bills,Joe Cribbs 1 yard rush (Nick Mike-Mayer kick),7,14
3,3.0,Bills,Joe Cribbs 44 yard rush (Nick Mike-Mayer kick),14,14
4,3.0,Bengals,Charles Alexander 20 yard rush (Jim Breech kick),14,21
5,4.0,Bills,Jerry Butler 21 yard pass from Joe Ferguson (Nick Mike-Mayer kick),21,21
6,4.0,Bengals,Cris Collinsworth 16 yard pass from Ken Anderson (Jim Breech kick),21,28
