,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Roy Gerela 39 yard field goal,3,0
1,1.0,Browns,Don Cockroft 26 yard field goal,3,3
2,1.0,Browns,Mike Phipps 1 yard rush (Don Cockroft kick),3,10
3,2.0,Browns,Don Cockroft 38 yard field goal,3,13
4,2.0,Browns,Frank Pitts 17 yard pass from Mike Phipps (Don Cockroft kick),3,20
5,2.0,Steelers,Gerry Mullins 3 yard pass from Terry Bradshaw (Roy Gerela kick),10,20
6,3.0,Browns,Don Cockroft 12 yard field goal,10,23
7,3.0,Steelers,John Fuqua 1 yard rush (Roy Gerela kick),17,23
8,4.0,Steelers,Franco Harris 75 yard rush (Roy Gerela kick),24,23
9,4.0,Browns,Don Cockroft 26 yard field goal,24,26
