,Quarter,Tm,Detail,NYG,RAM
0,2.0,Rams,Tank Younger 1 yard rush (Ben Agajanian kick),0,7
1,3.0,Rams,Tom Fears 15 yard pass from Norm Van Brocklin (Ben Agajanian kick),0,14
2,4.0,Rams,Elroy Hirsch 15 yard pass from Norm Van Brocklin (Ben Agajanian kick),0,21
3,4.0,Giants,Ray Pelfrey 9 yard pass from Bill Mackrides (Randy Clay kick),7,21
