,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,,Browns,Matt Stover 19 yard field goal,3,0
1,1.0,,Browns,Leroy Hoard 11 yard pass from Vinny Testaverde (Tom Tupa run),11,0
2,2.0,,Bengals,Derrick Fenner 1 yard rush (Doug Pelfrey kick),11,7
3,2.0,,Browns,Randy Baldwin 85 yard kickoff return (Matt Stover kick),18,7
4,2.0,1:51,Browns,Eric Metcalf 92 yard punt return (Matt Stover kick),25,7
5,2.0,1:51,Bengals,Doug Pelfrey 38 yard field goal,25,10
6,3.0,1:51,Bengals,Doug Pelfrey 49 yard field goal,25,13
7,4.0,1:51,Browns,Matt Stover 22 yard field goal,28,13
8,4.0,1:51,Bengals,Darnay Scott 24 yard pass from David Klingler (Doug Pelfrey kick),28,20
