,Quarter,Tm,Detail,PIT,CLE
0,1.0,Browns,Dante Lavelli 22 yard pass from Otto Graham (Lou Groza kick),0,7
1,1.0,Browns,"Safety, Finks tackled in end zone by Young",0,9
2,2.0,Browns,Lou Groza 11 yard field goal,0,12
3,2.0,Browns,Lou Groza 34 yard field goal,0,15
4,3.0,Browns,Dante Lavelli 22 yard pass from Otto Graham (Lou Groza kick),0,22
5,3.0,Steelers,Ray Mathews 33 yard pass from Jim Finks (Gary Kerkorian kick),7,22
6,3.0,Steelers,Jack Butler 7 yard pass from Jim Finks (Gary Kerkorian kick),14,22
7,4.0,Browns,Otto Graham 2 yard rush (Lou Groza kick),14,29
8,4.0,Steelers,Ray Mathews 38 yard pass from Jim Finks (Gary Kerkorian kick),21,29
9,4.0,Steelers,Elbie Nickel 9 yard pass from Jim Finks (Gary Kerkorian kick),28,29
