,Quarter,Time,Tm,Detail,SEA,SDG
0,1.0,,Chargers,Greg Jackson 41 yard fumble return (Greg Davis kick),0,7
1,1.0,,Chargers,Tony Martin 10 yard pass from Craig Whelihan (Greg Davis kick),0,14
2,2.0,,Seahawks,Todd Peterson 27 yard field goal,3,14
3,2.0,,Chargers,Greg Davis 33 yard field goal,3,17
4,2.0,,Seahawks,Joey Galloway 30 yard pass from Warren Moon (Todd Peterson kick),10,17
5,3.0,,Seahawks,Chris Warren 1 yard rush (Todd Peterson kick),17,17
6,3.0,,Seahawks,Michael Sinclair defensive fumble recovery in end zone (Todd Peterson kick),24,17
7,3.0,,Chargers,Paul Bradford 56 yard interception return (Greg Davis kick),24,24
8,4.0,,Chargers,Tony Martin 61 yard pass from Craig Whelihan (Greg Davis kick),24,31
9,4.0,,Seahawks,Todd Peterson 28 yard field goal,27,31
10,4.0,,Seahawks,Joey Galloway 40 yard pass from Warren Moon (Todd Peterson kick),34,31
11,4.0,,Seahawks,Todd Peterson 27 yard field goal,37,31
