,Quarter,Tm,Detail,NOR,ATL
0,2.0,Saints,Henry Childs 16 yard rush (Rich Szaro kick),7,0
1,2.0,Saints,Larry Burton 15 yard pass from Bobby Douglass (Rich Szaro kick),14,0
2,3.0,Falcons,Alfred Jenkins 17 yard pass from Scott Hunter (Nick Mike-Mayer kick),14,7
3,4.0,Falcons,Haskel Stanback 5 yard pass from Scott Hunter (Nick Mike-Mayer kick),14,14
4,4.0,Saints,Tony Galbreath 2 yard rush,20,14
5,4.0,Falcons,Haskel Stanback 1 yard rush (Nick Mike-Mayer kick),20,21
6,4.0,Falcons,"Safety, Humphrey forced Douglass out of end zone",20,23
