,Quarter,Tm,Detail,DAL,SFO
0,1.0,49ers,Bob Ferrell 1 yard rush (Ray Wersching kick),0,7
1,2.0,Cowboys,Roger Staubach 1 yard rush (Efren Herrera kick),7,7
2,2.0,Cowboys,Preston Pearson 36 yard pass from Roger Staubach (Efren Herrera kick),14,7
3,2.0,49ers,Kenny Harrison 10 yard pass from Jim Plunkett (Ray Wersching kick),14,14
4,2.0,Cowboys,Tony Dorsett 20 yard pass from Roger Staubach (Efren Herrera kick),21,14
5,3.0,Cowboys,Tony Dorsett 21 yard rush (Efren Herrera kick),28,14
6,3.0,49ers,Gene Washington 27 yard pass from Jim Plunkett (Ray Wersching kick),28,21
7,4.0,Cowboys,Butch Johnson 22 yard pass from Roger Staubach (Efren Herrera kick),35,21
8,4.0,49ers,Delvin Williams 1 yard pass from Jim Plunkett (Ray Wersching kick),35,28
9,4.0,Cowboys,Preston Pearson 3 yard rush (Efren Herrera kick),42,28
10,4.0,49ers,Paul Seal 47 yard pass from Jim Plunkett (Ray Wersching kick),42,35
