,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Red Phillips 27 yard pass from Billy Wade (Jack Morris kick),7,0
1,2.0,Bears,Johnny Morris 78 yard punt return (John Aveni kick),7,7
2,2.0,Bears,Harlon Hill 88 yard pass from Ed Brown (John Aveni kick),7,14
3,2.0,Rams,Red Phillips 39 yard pass from Billy Wade (Jack Morris kick),14,14
4,2.0,Bears,Willard Dewveall 43 yard pass from Ed Brown (John Aveni kick),14,21
5,3.0,Rams,Del Shofner 45 yard pass from Billy Wade (Jack Morris kick),21,21
6,4.0,Rams,Joe Marconi 1 yard rush (Jack Morris kick),28,21
