,Quarter,Time,Tm,Detail,PIT,CHI
0,1,9:09,Bears,Jordan Howard 3 yard rush (Connor Barth kick),0,7
1,2,5:42,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Chris Boswell kick),7,7
2,2,0:43,Bears,Adam Shaheen 2 yard pass from Mike Glennon (Connor Barth kick),7,14
3,2,0:00,Bears,Connor Barth 24 yard field goal,7,17
4,3,6:43,Steelers,Le'Veon Bell 1 yard rush (Chris Boswell kick),14,17
5,4,8:03,Steelers,Chris Boswell 32 yard field goal,17,17
6,OT,8:27,Bears,Jordan Howard 19 yard rush,17,23
