,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Ward Cuff 6 yard rush (Ward Cuff kick),0,7
1,2.0,Giants,Ward Cuff 45 yard field goal,0,10
2,3.0,Giants,Neal Adams 17 yard pass from Tuffy Leemans (Ward Cuff kick),0,17
3,3.0,Giants,Frank Liebel 23 yard pass from Tuffy Leemans (Ward Cuff kick),0,24
4,4.0,Cardinals,John Grigas 2 yard rush (Conway Baker kick),7,24
5,4.0,Cardinals,Conway Baker 2 yard fumble return,13,24
