,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Matt Bahr 27 yard field goal,0,3
1,2.0,Redskins,Tim McGee 11 yard pass from Cary Conklin (Chip Lohmiller kick),7,3
2,2.0,Redskins,Ricky Sanders 34 yard pass from Cary Conklin (Chip Lohmiller kick),14,3
3,2.0,Eagles,Calvin Williams 80 yard pass from Randall Cunningham (Matt Bahr kick),14,10
4,3.0,Redskins,Ron Middleton 1 yard pass from Cary Conklin (Chip Lohmiller kick),21,10
5,3.0,Eagles,Eric Allen 29 yard interception return (Matt Bahr kick),21,17
6,4.0,Redskins,Chip Lohmiller 38 yard field goal,24,17
7,4.0,Eagles,Calvin Williams 9 yard pass from Randall Cunningham (Matt Bahr kick),24,24
8,4.0,Redskins,Reggie Brooks 85 yard rush (Chip Lohmiller kick),31,24
9,4.0,Eagles,Matt Bahr 42 yard field goal,31,27
10,4.0,Eagles,Calvin Williams 10 yard pass from Randall Cunningham (Matt Bahr kick),31,34
