,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Neal Anderson 11 yard pass from Jim Harbaugh (Kevin Butler kick),0,7
1,2.0,Bears,Kevin Butler 34 yard field goal,0,10
2,2.0,Lions,Brett Perriman 40 yard pass from Rodney Peete (Jason Hanson kick),7,10
3,2.0,Lions,Jason Hanson 38 yard field goal,10,10
4,4.0,Lions,Barry Sanders 43 yard rush (Jason Hanson kick),17,10
5,4.0,Bears,Kevin Butler 38 yard field goal,17,13
6,4.0,Bears,Neal Anderson 18 yard rush (Kevin Butler kick),17,20
7,4.0,Lions,Willie Green 27 yard pass from Rodney Peete (Jason Hanson kick),24,20
8,4.0,Bears,Tom Waddle 6 yard pass from Jim Harbaugh (Kevin Butler kick),24,27
