,Quarter,Time,Tm,Detail,DAL,GNB
0,2.0,9:49,Packers,James Starks 13 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,2.0,2:40,Packers,Richard Rodgers 3 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2,3.0,8:25,Cowboys,Robert Turbin 7 yard rush (Dan Bailey kick),7,14
3,4.0,4:44,Packers,James Starks 30 yard rush (Mason Crosby kick),7,21
4,4.0,2:46,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),7,28
