,Quarter,Tm,Detail,RAM,DET
0,2.0,Lions,Gene Gedman 2 yard rush (Jim Martin kick),0,7
1,2.0,Rams,Tommy Wilson 82 yard rush (Paige Cothren kick),7,7
2,2.0,Lions,Gene Gedman 1 yard rush (Jim Martin kick),7,14
3,2.0,Rams,Jon Arnett 14 yard rush (Paige Cothren kick),14,14
4,2.0,Rams,Jon Arnett 8 yard rush (Paige Cothren kick),21,14
5,2.0,Lions,Howard Cassady 54 yard pass from Earl Morrall (Jim Martin kick),21,21
6,4.0,Rams,Leon Clarke 6 yard blocked punt return (Paige Cothren kick),28,21
7,4.0,Lions,Gene Gedman 18 yard pass from Earl Morrall (Jim Martin kick),28,28
8,4.0,Rams,Joe Marconi 24 yard rush (Paige Cothren kick),35,28
9,4.0,Rams,Jon Arnett 17 yard rush (Paige Cothren kick),42,28
