,Quarter,Tm,Detail,GNB,CLE
0,1.0,Browns,Earnest Byner 3 yard pass from Bernie Kosar (Matt Bahr kick),0,7
1,2.0,Packers,Al Del Greco 24 yard field goal,3,7
2,2.0,Browns,Brian Brennan 15 yard pass from Bernie Kosar (Matt Bahr kick),3,14
3,3.0,Packers,Gerry Ellis 2 yard rush (Al Del Greco kick),10,14
4,3.0,Packers,Phil Epps 47 yard pass from Randy Wright (Al Del Greco kick),17,14
