,Quarter,Time,Tm,Detail,DEN,GNB
0,1.0,12:22,Packers,Marquez Valdes-Scantling 40 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,2.0,14:21,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick),7,7
2,2.0,11:23,Packers,Mason Crosby 42 yard field goal,7,10
3,2.0,3:53,Broncos,Brandon McManus 30 yard field goal,10,10
4,2.0,2:00,Packers,Aaron Jones 7 yard rush (Mason Crosby kick),10,17
5,3.0,12:15,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),10,24
6,3.0,6:05,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick failed),16,24
7,4.0,5:53,Packers,Mason Crosby 41 yard field goal,16,27
