,Quarter,Time,Tm,Detail,SDG,MIA
0,1.0,7:19,Dolphins,Olindo Mare 32 yard field goal,0,3
1,2.0,14:57,Chargers,John Carney 23 yard field goal,3,3
2,2.0,5:28,Dolphins,Olindo Mare 21 yard field goal,3,6
3,4.0,14:57,Chargers,John Carney 22 yard field goal,6,6
4,4.0,10:11,Chargers,John Carney 31 yard field goal,9,6
5,4.0,6:06,Dolphins,Olindo Mare 30 yard field goal,9,9
6,4.0,3:22,Dolphins,Olindo Mare 31 yard field goal,9,12
