,Quarter,Tm,Detail,SFO,SDG
0,2.0,49ers,Ray Wersching 32 yard field goal,3,0
1,2.0,Chargers,Clarence Williams 3 yard rush (Roy Gerela kick),3,7
2,2.0,Chargers,Roy Gerela 26 yard field goal,3,10
3,2.0,Chargers,Charlie Joiner 24 yard pass from Dan Fouts (Roy Gerela kick),3,17
4,3.0,49ers,O.J. Simpson 1 yard rush,9,17
5,4.0,Chargers,Kellen Winslow 24 yard pass from Dan Fouts (Roy Gerela kick),9,24
6,4.0,Chargers,Hank Bauer 1 yard rush (Roy Gerela kick),9,31
