,Quarter,Time,Tm,Detail,STL,ATL
0,1.0,,Falcons,Jamal Anderson 9 yard pass from Chris Chandler (Morten Andersen kick),0,7
1,1.0,,Falcons,Morten Andersen 23 yard field goal,0,10
2,1.0,,Falcons,Jamal Anderson 12 yard rush (Morten Andersen kick),0,17
3,2.0,,Rams,Ryan McNeil 37 yard interception return (Jeff Wilkins kick),7,17
4,2.0,,Falcons,Morten Andersen 22 yard field goal,7,20
5,2.0,0:58,Falcons,Tony Martin 18 yard pass from Chris Chandler (Morten Andersen kick),7,27
6,3.0,0:58,Falcons,Jamal Anderson 4 yard rush (Morten Andersen kick),7,34
7,4.0,0:58,Rams,Roland Williams 1 yard pass from Tony Banks (Tony Banks run),15,34
8,4.0,0:58,Falcons,Morten Andersen 43 yard field goal,15,37
