,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Kevin Butler 23 yard field goal,0,3
1,2.0,Bears,Kevin Butler 51 yard field goal,0,6
2,2.0,Vikings,Donald Igwebuike 26 yard field goal,3,6
3,2.0,Bears,Neal Anderson 8 yard rush (Kevin Butler kick),3,13
4,2.0,Vikings,Donald Igwebuike 24 yard field goal,6,13
5,3.0,Vikings,Donald Igwebuike 22 yard field goal,9,13
6,3.0,Bears,Kevin Butler 32 yard field goal,9,16
7,4.0,Vikings,Hassan Jones 17 yard pass from Wade Wilson (Donald Igwebuike kick),16,16
8,4.0,Bears,Kevin Butler 52 yard field goal,16,19
