,Quarter,Tm,Detail,PIT,STL
0,1.0,Cardinals,Jim Bakken 12 yard field goal,0,3
1,1.0,Steelers,Mike Clark 19 yard field goal,3,3
2,2.0,Cardinals,Prentice Gautt 2 yard rush (Jim Bakken kick),3,10
3,2.0,Steelers,Mike Clark 43 yard field goal,6,10
4,2.0,Cardinals,Jim Bakken 16 yard field goal,6,13
5,2.0,Steelers,Gary Ballman 28 yard pass from Ed Brown (Mike Clark kick),13,13
6,3.0,Steelers,Mike Clark 38 yard field goal,16,13
7,3.0,Cardinals,Bobby Joe Conrad 2 yard pass from Charley Johnson (Jim Bakken kick),16,20
8,4.0,Cardinals,Billy Gambrell 9 yard pass from Charley Johnson (Jim Bakken kick),16,27
9,4.0,Cardinals,Dale Meinert 18 yard interception return (Jim Bakken kick),16,34
10,4.0,Steelers,Dick Hoak 22 yard pass from Bill Nelsen (Mike Clark kick),23,34
11,4.0,Steelers,Gary Ballman 29 yard pass from Bill Nelsen (Mike Clark kick),30,34
