,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Freddie Solomon 20 yard pass from Steve DeBerg,6,0
1,1.0,49ers,Lenvil Elliott 1 yard rush (Ray Wersching kick),13,0
2,2.0,Packers,Tom Birney 50 yard field goal,13,3
3,2.0,Packers,Terdell Middleton 1 yard rush (Tom Birney kick),13,10
4,2.0,Packers,Tom Birney 39 yard field goal,13,13
5,4.0,Packers,Gerry Ellis 8 yard rush (Tom Birney kick),13,20
6,4.0,49ers,Ray Wersching 24 yard field goal,16,20
7,4.0,Packers,Tom Birney 32 yard field goal,16,23
