,Quarter,Time,Tm,Detail,TAM,GNB
0,1.0,,Packers,Chris Jacke 40 yard field goal,0,3
1,2.0,,Packers,Dorsey Levens 1 yard rush (Chris Jacke kick),0,10
2,2.0,,Packers,Chris Jacke 48 yard field goal,0,13
3,4.0,,Buccaneers,Dave Moore 11 yard pass from Trent Dilfer (Michael Husted kick),7,13
