,Quarter,Tm,Detail,PIT,CRD
0,1.0,Cardinals,Ollie Matson 101 yard kickoff return (Bobby Joe Conrad kick),0,7
1,1.0,Steelers,Leo Elter 5 yard rush (Tom Miner kick),7,7
2,1.0,Steelers,Tom Miner 37 yard field goal,10,7
3,1.0,Cardinals,Bobby Joe Conrad 38 yard field goal,10,10
4,2.0,Steelers,Leo Elter 8 yard rush (Tom Miner kick),17,10
5,2.0,Steelers,Tom Miner 30 yard field goal,20,10
6,2.0,Cardinals,Bobby Joe Conrad 12 yard field goal,20,13
7,3.0,Cardinals,Ollie Matson 1 yard rush (Bobby Joe Conrad kick),20,20
8,4.0,Steelers,Jimmy Orr 78 yard pass from Bobby Layne (Tom Miner kick),27,20
