,Quarter,Tm,Detail,SFO,ATL
0,2.0,49ers,Jerry Rice 20 yard pass from Joe Montana (Mike Cofer kick),7,0
1,4.0,Falcons,Greg Davis 21 yard field goal,7,3
2,4.0,49ers,Mike Cofer 31 yard field goal,10,3
3,4.0,49ers,Mike Cofer 23 yard field goal,13,3
