,Quarter,Tm,Detail,SFO,PHO
0,2.0,Cardinals,Randal Hill 4 yard pass from Chris Chandler (Greg Davis kick),0,7
1,2.0,Cardinals,Greg Davis 33 yard field goal,0,10
2,3.0,Cardinals,Randal Hill 23 yard pass from Chris Chandler (Greg Davis kick),0,17
3,3.0,49ers,Mike Sherrard 39 yard offensive fumble return (Mike Cofer kick),7,17
4,3.0,Cardinals,Ricky Proehl 22 yard pass from Chris Chandler (Greg Davis kick),7,24
5,4.0,49ers,Ricky Watters 4 yard rush (Mike Cofer kick),14,24
