,Quarter,Tm,Detail,MIA,RAI
0,2.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),7,0
1,2.0,Dolphins,Liffort Hobley 19 yard defensive fumble return (Fuad Reveiz kick),14,0
2,2.0,Dolphins,Fuad Reveiz 45 yard field goal,17,0
3,2.0,Dolphins,Jim Jensen 17 yard pass from Dan Marino (Fuad Reveiz kick),24,0
4,3.0,Raiders,Mervyn Fernandez 7 yard pass from Jay Schroeder (Chris Bahr kick),24,7
5,4.0,Raiders,Steve Strachan 13 yard pass from Jay Schroeder (Chris Bahr kick),24,14
