,Quarter,Tm,Detail,GNB,CRD
0,2.0,Packers,Arnie Herber unknown yard pass from Cecil Isbell (Tiny Engebretsen kick),7,0
1,2.0,Cardinals,Buddy Parker 1 yard rush,7,6
2,2.0,Packers,Clarke Hinkle 2 yard pass from Bob Monnett (Clarke Hinkle kick),14,6
3,3.0,Packers,Don Hutson 15 yard pass from Cecil Isbell (Tiny Engebretsen kick),21,6
4,3.0,Cardinals,Jimmy Lawrence unknown yard rush (Bill Smith kick),21,13
5,4.0,Cardinals,Bill Smith 17 yard field goal,21,16
6,4.0,Cardinals,Pete Tyler 26 yard pass from Jack Robbins,21,22
7,4.0,Packers,Tiny Engebretsen 20 yard field goal,24,22
