,Quarter,Time,Tm,Detail,KAN,JAX
0,1.0,,Jaguars,Reggie Barlow 85 yard punt return (Mike Hollis kick),0,7
1,2.0,,Jaguars,Jimmy Smith 17 yard pass from Mark Brunell (Mike Hollis kick),0,14
2,2.0,1:09,Chiefs,Pete Stoyanovich 36 yard field goal,3,14
3,2.0,0:06,Chiefs,Pete Stoyanovich 43 yard field goal,6,14
4,3.0,0:06,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),6,21
5,3.0,0:06,Chiefs,Pete Stoyanovich 29 yard field goal,9,21
6,4.0,0:06,Chiefs,Kimble Anders 3 yard rush (Pete Stoyanovich kick),16,21
