,Quarter,Tm,Detail,DAL,HOU
0,1.0,Cowboys,Timmy Newsome 7 yard pass from Danny White (Rafael Septien kick),7,0
1,3.0,Cowboys,Rafael Septien 35 yard field goal,10,0
2,3.0,Oilers,Drew Hill 57 yard pass from Warren Moon (Tony Zendejas kick),10,7
3,3.0,Oilers,Tony Zendejas 33 yard field goal,10,10
4,4.0,Cowboys,Fred Cornwell 1 yard pass from Danny White (Rafael Septien kick),17,10
