,Quarter,Tm,Detail,CHI,SEA
0,1.0,Bears,Matt Suhey 3 yard pass from Walter Payton (Bob Thomas kick),7,0
1,1.0,Seahawks,Keith Simpson 39 yard interception return (Norm Johnson kick),7,7
2,2.0,Seahawks,Norm Johnson 27 yard field goal,7,10
3,3.0,Seahawks,Dave Krieg 3 yard rush (Norm Johnson kick),7,17
4,3.0,Seahawks,Eric Lane 55 yard pass from Dave Krieg (Norm Johnson kick),7,24
5,3.0,Seahawks,Joe Nash defensive fumble recovery in end zone (Norm Johnson kick),7,31
6,4.0,Bears,"Safety, Seattle holding in end zone",9,31
7,4.0,Seahawks,Terry Jackson 62 yard interception return (Norm Johnson kick),9,38
