,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,Chuck Hanneman 24 yard field goal,0,3
1,2.0,Bears,Ray McLean 5 yard rush (Jack Manders kick),7,3
2,3.0,Lions,Whizzer White 3 yard rush (Chuck Hanneman kick),7,10
3,3.0,Bears,Gary Famiglietti 5 yard rush (Ray McLean pass from Sid Luckman),14,10
4,4.0,Lions,Lloyd Cardwell 3 yard pass from Cotton Price (Chuck Hanneman kick),14,17
