,Quarter,Tm,Detail,CLE,MIN
0,1.0,Vikings,Chuck Nelson 33 yard field goal,0,3
1,1.0,Browns,Matt Bahr 52 yard field goal,3,3
2,2.0,Vikings,Darrin Nelson 5 yard rush (Chuck Nelson kick),3,10
3,2.0,Vikings,Anthony Carter 8 yard pass from Tommy Kramer (Chuck Nelson kick),3,17
4,3.0,Browns,Felix Wright 30 yard blocked punt return (Matt Bahr kick),10,17
5,3.0,Vikings,Chuck Nelson 32 yard field goal,10,20
6,4.0,Browns,Matt Bahr 19 yard field goal,13,20
7,4.0,Browns,Curtis Dickey 17 yard rush (Matt Bahr kick),20,20
8,4.0,Browns,Matt Bahr 22 yard field goal,23,20
