,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Tom Moore 1 yard rush (Ben Agajanian kick),7,0
1,2.0,Rams,Danny Villanueva 17 yard field goal,7,3
2,2.0,Packers,Tom Moore 8 yard pass from Bart Starr (Ben Agajanian kick),14,3
3,3.0,Rams,Dick Bass 55 yard rush (Danny Villanueva kick),14,10
4,4.0,Rams,Dick Bass 90 yard punt return (Danny Villanueva kick),14,17
5,4.0,Packers,Ben Agajanian 28 yard field goal,17,17
6,4.0,Packers,Elijah Pitts 17 yard rush (Ben Agajanian kick),24,17
