,Quarter,Tm,Detail,NWE,BUF
0,1,Patriots,Cedric Jones 7 yard pass from Steve Grogan (Tony Franklin kick),7,0
1,2,Patriots,Reggie Dupard 36 yard rush,13,0
2,3,Bills,Sean McNanie 14 yard defensive fumble return (Scott Norwood kick),13,7
