,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,Willie Wilkin 4 yard blocked punt return (Bob Masterson kick),0,7
1,2.0,Redskins,Dick Todd 15 yard pass from Sammy Baugh (Bob Masterson kick),0,14
2,3.0,Redskins,Wilbur Moore 26 yard pass from Sammy Baugh (Andy Farkas kick),0,21
3,3.0,Redskins,Bob McChesney 13 yard pass from Sammy Baugh (Andy Farkas kick),0,28
4,3.0,Redskins,Roy Zimmerman 14 yard field goal,0,31
5,3.0,Redskins,"Safety, Pritchard tackled in end zone by Wilkin",0,33
6,4.0,Rams,Bill Lazetich 6 yard pass from Parker Hall (Boyd Clay kick),7,33
7,4.0,Rams,Dante Magnani 15 yard pass from Parker Hall (Boyd Clay kick),14,33
