,Quarter,Tm,Detail,PIT,RAM
0,1,Steelers,Roy Gerela 20 yard field goal,3,0
1,2,Rams,Tom Dempsey 26 yard field goal,3,3
2,4,Rams,Ron Jaworski 5 yard rush (Tom Dempsey kick),3,10
