,Quarter,Tm,Detail,BKN,SIS
0,3.0,Stapletons,Ken Strong 35 yard field goal,0,3
1,4.0,Stapletons,Chief McLain 40 yard pass from Ken Strong,0,9
2,4.0,Dodgers,Jack McBride 1 yard rush (Frosty Peters kick),7,9
