,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Jim Christopherson 18 yard field goal,0,3
1,1.0,Rams,Danny Villanueva 13 yard field goal,3,3
2,2.0,Vikings,Tommy Mason 50 yard pass from Fran Tarkenton (Jim Christopherson kick),3,10
3,2.0,Rams,Red Phillips 65 yard pass from Roman Gabriel (Danny Villanueva kick),10,10
4,2.0,Vikings,Tommy Mason 35 yard pass from Fran Tarkenton (Jim Christopherson kick),10,17
5,4.0,Vikings,Oscar Donahue 45 yard pass from Fran Tarkenton (Jim Christopherson kick),10,24
6,4.0,Rams,Red Phillips 10 yard pass from Roman Gabriel (Danny Villanueva kick),17,24
7,4.0,Rams,Art Perkins 3 yard rush (Danny Villanueva kick),24,24
