,Quarter,Tm,Detail,MIN,DEN
0,1.0,Broncos,Gerald Willhite 13 yard rush (Rich Karlis kick),0,7
1,1.0,Broncos,Sammy Winder 8 yard pass from John Elway (Rich Karlis kick),0,14
2,1.0,Broncos,Steve Watson 26 yard pass from John Elway (Rich Karlis kick),0,21
3,2.0,Vikings,Ted Brown 21 yard pass from Tommy Kramer (Jan Stenerud kick),7,21
4,2.0,Broncos,Butch Johnson 19 yard pass from John Elway (Rich Karlis kick),7,28
5,2.0,Broncos,Ray Alexander 12 yard pass from John Elway (Rich Karlis kick),7,35
6,3.0,Broncos,Steve Watson 13 yard pass from John Elway (Rich Karlis kick),7,42
7,4.0,Vikings,Ted Brown 1 yard rush (Jan Stenerud kick),14,42
8,4.0,Vikings,Allen Rice 9 yard pass from Wade Wilson (Jan Stenerud kick),21,42
