,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Tuffy Leemans 14 yard rush (Ward Cuff kick),0,7
1,1.0,Giants,Merle Hapes 52 yard rush (Ward Cuff kick),0,14
2,2.0,Cardinals,Marshall Goldberg 2 yard rush (Pop Ivy kick),7,14
3,3.0,Giants,Merle Hapes 2 yard rush (Ward Cuff kick),7,21
