,Quarter,Tm,Detail,BOS,PHI
0,1,Redskins,Cliff Battles unknown yard rush (Steve Hokuf kick),7,0
1,2,Eagles,Swede Hanson 6 yard rush (Red Kirkman kick),7,7
2,4,Redskins,Cliff Battles unknown yard rush (Steve Hokuf kick),14,7
