,Quarter,Tm,Detail,SEA,KAN
0,1.0,Chiefs,Herman Heard 2 yard rush (Nick Lowery kick),0,7
1,1.0,Chiefs,Stephone Paige 34 yard pass from Bill Kenney (Nick Lowery kick),0,14
2,2.0,Chiefs,Bill Kenney 1 yard rush (Nick Lowery kick),0,21
3,3.0,Chiefs,Stephone Paige 8 yard pass from Bill Kenney (Nick Lowery kick),0,28
4,3.0,Seahawks,Daryl Turner 35 yard pass from Dave Krieg (Norm Johnson kick),7,28
