,Quarter,Time,Tm,Detail,ATL,NWE
0,1.0,,Falcons,Jamal Anderson 1 yard rush (Morten Andersen kick),7,0
1,1.0,,Falcons,O.J. Santiago 7 yard pass from Chris Chandler (Morten Andersen kick),14,0
2,1.0,,Patriots,Adam Vinatieri 40 yard field goal,14,3
3,2.0,,Falcons,Jamal Anderson 10 yard rush (Morten Andersen kick),21,3
4,2.0,,Falcons,Chuck Smith 71 yard defensive fumble return (Morten Andersen kick),28,3
5,3.0,,Falcons,Morten Andersen 40 yard field goal,31,3
6,3.0,,Patriots,Ben Coates 2 yard pass from Drew Bledsoe (Adam Vinatieri kick),31,10
7,4.0,,Falcons,O.J. Santiago 22 yard pass from Chris Chandler (Morten Andersen kick),38,10
8,4.0,1:53,Falcons,Morten Andersen 32 yard field goal,41,10
