,Quarter,Tm,Detail,NYG,BUF
0,1.0,Giants,Al Dixon 31 yard pass from Joe Pisarcik (Joe Danelo kick),7,0
1,1.0,Bills,Curtis Brown 1 yard rush (Tom Dempsey kick),7,7
2,2.0,Giants,Joe Danelo 27 yard field goal,10,7
3,3.0,Giants,Doug Kotar 19 yard pass from Joe Pisarcik (Joe Danelo kick),17,7
4,3.0,Bills,Roland Hooks 1 yard rush (Tom Dempsey kick),17,14
5,4.0,Bills,Curtis Brown 1 yard rush (Tom Dempsey kick),17,21
6,4.0,Bills,Lou Piccone 9 yard pass from Joe Ferguson (Tom Dempsey kick),17,28
7,4.0,Bills,Terry Miller 39 yard rush (Tom Dempsey kick),17,35
8,4.0,Bills,Terry Miller 13 yard rush,17,41
