,Quarter,Tm,Detail,WAS,CLE
0,1.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),7,0
1,1.0,Redskins,Gary Clark 19 yard pass from Joe Theismann (Mark Moseley kick),14,0
2,3.0,Browns,Ozzie Newsome 14 yard pass from Gary Danielson (Matt Bahr kick),14,7
