,Quarter,Tm,Detail,MIA,NYJ
0,1,Jets,Pat Leahy 37 yard field goal,0,3
1,2,Dolphins,Duriel Harris 20 yard pass from Bob Griese (Garo Yepremian kick),7,3
2,3,Dolphins,Duriel Harris 24 yard pass from Bob Griese (Garo Yepremian kick),14,3
3,4,Jets,Jerome Barkum 16 yard pass from Marty Domres (Pat Leahy kick),14,10
