,Quarter,Time,Tm,Detail,DEN,DET
0,1.0,7:06,Lions,Jason Hanson 43 yard field goal,0,3
1,2.0,14:09,Lions,Jason Hanson 53 yard field goal,0,6
2,2.0,4:59,Lions,Mike Furrey 15 yard pass from Jon Kitna (Jason Hanson kick),0,13
3,2.0,0:35,Lions,Jason Hanson 38 yard field goal,0,16
4,3.0,11:07,Lions,Dewayne White 3 yard defensive fumble return (Jason Hanson kick),0,23
5,3.0,6:35,Lions,Shaun McDonald 49 yard pass from Jon Kitna (Jason Hanson kick),0,30
6,4.0,8:03,Lions,Shaun Rogers 66 yard interception return (Jason Hanson kick),0,37
7,4.0,5:15,Lions,T.J. Duckett 3 yard rush (Jason Hanson kick),0,44
8,4.0,2:31,Broncos,Brandon Stokley 2 yard pass from Patrick Ramsey (Jason Elam kick),7,44
