,Quarter,Tm,Detail,SDG,IND
0,2.0,Chargers,Shawn Jefferson 39 yard pass from Stan Humphries (John Carney kick),7,0
1,2.0,Chargers,Nate Lewis 8 yard pass from Stan Humphries (John Carney kick),14,0
2,3.0,Chargers,John Carney 36 yard field goal,17,0
3,4.0,Chargers,Marion Butts 1 yard rush (John Carney kick),24,0
4,4.0,Chargers,Eric Bieniemy 4 yard rush (John Carney kick),31,0
