,Quarter,Tm,Detail,SDG,DEN
0,1.0,Chargers,Rolf Benirschke 53 yard field goal,3,0
1,1.0,Broncos,Fred Steinfort 51 yard field goal,3,3
2,2.0,Chargers,John Cappelletti 1 yard rush (Rolf Benirschke kick),10,3
3,2.0,Broncos,Fred Steinfort 46 yard field goal,10,6
4,2.0,Chargers,Charlie Joiner 22 yard pass from Dan Fouts (Rolf Benirschke kick),17,6
5,2.0,Chargers,Glen Edwards 68 yard interception return (Rolf Benirschke kick),24,6
6,2.0,Chargers,Rolf Benirschke 32 yard field goal,27,6
7,3.0,Chargers,Rolf Benirschke 42 yard field goal,30,6
8,3.0,Broncos,Haven Moses 15 yard pass from Craig Morton (Fred Steinfort kick),30,13
