,Quarter,Tm,Detail,DET,NYG
0,1.0,Giants,Hinkey Haines 70 yard punt return,0,6
1,1.0,Wolverines,Tiny Feather 4 yard rush (Benny Friedman kick),7,6
2,2.0,Giants,Ox Eckhardt 50 yard rush (Jack McBride kick),7,13
3,3.0,Giants,Jack McBride 5 yard rush,7,19
4,4.0,Wolverines,Len Sedbrook 36 yard rush,13,19
5,4.0,Wolverines,Carl Bacchus 30 yard pass from Benny Friedman,19,19
