,Quarter,Time,Tm,Detail,TEN,HOU
0,1,3:06,Titans,Rob Bironas 41 yard field goal,3,0
1,2,13:20,Titans,Rob Bironas 33 yard field goal,6,0
2,2,7:54,Texans,Ron Dayne 1 yard rush (Kris Brown kick),6,7
3,3,9:26,Texans,Ron Dayne 2 yard rush (Kris Brown kick),6,14
4,3,1:49,Titans,Travis Henry 9 yard rush (Rob Bironas kick),13,14
5,4,12:00,Texans,Kris Brown 49 yard field goal,13,17
6,4,3:53,Titans,Travis Henry 2 yard rush (Rob Bironas kick),20,17
7,4,2:09,Texans,Kris Brown 46 yard field goal,20,20
8,OT,11:14,Titans,Vince Young 39 yard rush,26,20
