,Quarter,Time,Tm,Detail,GNB,CAR
0,1.0,,Packers,Antonio Freeman 58 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1.0,,Packers,Robert Brooks 20 yard pass from Brett Favre (Ryan Longwell kick),14,0
2,2.0,,Panthers,John Kasay 43 yard field goal,14,3
3,2.0,,Packers,Ryan Longwell 31 yard field goal,17,3
4,3.0,,Packers,Antonio Freeman 6 yard pass from Brett Favre (Ryan Longwell kick),24,3
5,4.0,,Panthers,Fred Lane 35 yard rush (John Kasay kick),24,10
6,4.0,,Packers,Aaron Hayden 6 yard rush (Ryan Longwell kick),31,10
