,Quarter,Time,Tm,Detail,CIN,PIT
0,1.0,9:04,Steelers,Willie Parker 3 yard rush (Jeff Reed kick),0,7
1,2.0,6:34,Bengals,Chris Henry 16 yard pass from Carson Palmer (Shayne Graham kick),7,7
2,2.0,0:05,Bengals,Chris Henry 3 yard pass from Carson Palmer (Shayne Graham kick),14,7
3,3.0,9:37,Steelers,Jeff Reed 37 yard field goal,14,10
4,3.0,5:43,Steelers,Willie Parker 1 yard rush (Jeff Reed kick),14,17
5,4.0,7:59,Bengals,T.J. Houshmandzadeh 9 yard pass from Carson Palmer (Shayne Graham kick),21,17
6,4.0,7:05,Bengals,T.J. Houshmandzadeh 30 yard pass from Carson Palmer (Shayne Graham kick),28,17
7,4.0,3:18,Steelers,Jeff Reed 36 yard field goal,28,20
