,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Gene Washington 29 yard pass from Norm Snead (Steve Mike-Mayer kick),0,7
1,1.0,49ers,Gene Washington 20 yard pass from Norm Snead (Steve Mike-Mayer kick),0,14
2,1.0,49ers,Delvin Williams 25 yard rush (Steve Mike-Mayer kick),0,21
3,2.0,49ers,Tom Mitchell 60 yard pass from Norm Snead (Steve Mike-Mayer kick),0,28
4,2.0,Saints,Tom Myers 21 yard defensive fumble return (Rich Szaro kick),7,28
5,4.0,49ers,Nate Allen 37 yard interception return (Steve Mike-Mayer kick),7,35
6,4.0,Saints,Rusty Chambers 38 yard special teams fumble return (Rich Szaro kick),14,35
7,4.0,Saints,Rod McNeill 5 yard pass from Larry Cipa (Rich Szaro kick),21,35
