,Quarter,Tm,Detail,NYG,DEN
0,2.0,Giants,Ottis Anderson 3 yard rush (Bjorn Nittmo kick),7,0
1,2.0,Giants,Dave Meggett 57 yard pass from Phil Simms (Bjorn Nittmo kick),14,0
2,4.0,Broncos,Mike Young 32 yard pass from John Elway (David Treadwell kick),14,7
