,Quarter,Tm,Detail,DEN,BUF
0,1.0,Broncos,Tommie Smiley 1 yard rush (Bobby Howfield kick),7,0
1,1.0,Bills,Bruce Alford 27 yard field goal,7,3
2,1.0,Broncos,Mike Haffner 11 yard pass from Pete Liske (Bobby Howfield kick),14,3
3,2.0,Bills,O.J. Simpson 3 yard pass from Jack Kemp (Bruce Alford kick),14,10
4,2.0,Bills,Bruce Alford 30 yard field goal,14,13
5,2.0,Bills,Haven Moses 55 yard pass from Jack Kemp (Bruce Alford kick),14,20
6,3.0,Broncos,Al Denson 62 yard pass from Pete Liske (Bobby Howfield kick),21,20
7,3.0,Bills,Wayne Patrick 4 yard rush (Bruce Alford kick),21,27
8,3.0,Bills,Butch Byrd 12 yard interception return (Bruce Alford kick),21,34
9,3.0,Bills,Billy Masters 6 yard pass from Jack Kemp (Bruce Alford kick),21,41
10,4.0,Broncos,Mike Haffner 15 yard pass from Pete Liske (Bobby Howfield kick),28,41
