,Quarter,Time,Tm,Detail,SFO,TAM
0,1.0,7:05,49ers,Michael Crabtree 4 yard pass from Colin Kaepernick (Phil Dawson kick),7,0
1,2.0,6:12,49ers,Phil Dawson 47 yard field goal,10,0
2,2.0,1:47,49ers,Vernon Davis 52 yard pass from Colin Kaepernick (Phil Dawson kick),17,0
3,2.0,0:29,Buccaneers,Vincent Jackson 11 yard pass from Mike Glennon (Rian Lindell kick),17,7
4,3.0,7:51,49ers,Phil Dawson 43 yard field goal,20,7
5,4.0,14:54,Buccaneers,Tim Wright 24 yard pass from Mike Glennon (Rian Lindell kick),20,14
6,4.0,4:27,49ers,Phil Dawson 21 yard field goal,23,14
7,4.0,4:21,49ers,Kendall Hunter 2 yard fumble return (Phil Dawson kick),30,14
8,4.0,2:49,49ers,Phil Dawson 35 yard field goal,33,14
