,Quarter,Tm,Detail,KAN,RAI
0,1.0,Chiefs,Nick Lowery 36 yard field goal,3,0
1,2.0,Raiders,Jim Smith 6 yard pass from Marc Wilson (Chris Bahr kick),3,7
2,2.0,Raiders,Chris Bahr 37 yard field goal,3,10
3,3.0,Raiders,Chris Bahr 25 yard field goal,3,13
4,4.0,Chiefs,Anthony Hancock 41 yard pass from Bill Kenney (Nick Lowery kick),10,13
5,4.0,Raiders,Chris Bahr 41 yard field goal,10,16
6,4.0,Raiders,Chris Bahr 41 yard field goal,10,19
