,Quarter,Tm,Detail,BOS,PIT
0,1.0,Yanks/Tigers,Augie Lio 19 yard field goal,3,0
1,2.0,Steelers,Ben Agajanian 19 yard field goal,3,3
2,4.0,Steelers,Ben Agajanian 25 yard field goal,3,6
3,4.0,Yanks/Tigers,Frank Martin 25 yard pass from Scott Gudmundson (Augie Lio kick),10,6
