,Quarter,Tm,Detail,NOR,CIN
0,1.0,Bengals,Paul Robinson 26 yard rush (Horst Muhlmann kick),0,7
1,1.0,Bengals,Horst Muhlmann 35 yard field goal,0,10
2,1.0,Bengals,Horst Muhlmann 11 yard field goal,0,13
3,1.0,Saints,Tom Dempsey 28 yard field goal,3,13
4,2.0,Bengals,Virgil Carter 3 yard rush (Horst Muhlmann kick),3,20
5,3.0,Bengals,Horst Muhlmann 34 yard field goal,3,23
6,3.0,Saints,Tom Dempsey 18 yard field goal,6,23
7,4.0,Bengals,Horst Muhlmann 22 yard field goal,6,26
