,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,12:35,Colts,Xavier Rhodes 44 yard interception return (Rodrigo Blankenship kick),0,7
1,1.0,5:23,Jets,Braxton Berrios 16 yard pass from Sam Darnold (Sam Ficken kick),7,7
2,2.0,14:16,Colts,Mo Alie-Cox 1 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,14
3,2.0,8:43,Colts,Rodrigo Blankenship 42 yard field goal,7,17
4,3.0,5:24,Colts,Jonathan Taylor 1 yard rush (Rodrigo Blankenship kick),7,24
5,3.0,0:08,Colts,T.J. Carrie 47 yard interception return (Rodrigo Blankenship kick),7,31
6,4.0,4:55,Colts,"Safety, Sam Darnold sacked in end zone by Justin Houston",7,33
7,4.0,2:09,Colts,Rodrigo Blankenship 41 yard field goal,7,36
