,Quarter,Tm,Detail,RAI,DEN
0,2.0,Raiders,Cliff Branch 35 yard pass from Jim Plunkett (Chris Bahr kick),7,0
1,3.0,Raiders,Chris Bahr 27 yard field goal,10,0
2,3.0,Raiders,Chris Bahr 29 yard field goal,13,0
3,3.0,Raiders,Cliff Branch 17 yard pass from Jim Plunkett (Chris Bahr kick),20,0
4,4.0,Broncos,Zach Thomas 70 yard punt return (Rich Karlis kick),20,7
5,4.0,Raiders,"Safety, Townsend tackled DeBerg in end zone",22,7
